t;x;y;z;Aceleracao_0;Aceleracao_1;Aceleracao_2
5,056;1,61E-06;0,19057817;126,9743508;-6,20E-09;9,809999991;-0,009256588
5,12;1,67E-06;0,19299448;130,1888915;8,69E-06;9,809999999;-0,000958573
5,184;1,78E-06;0,195411279;133,4436139;1,38E-05;9,81;0,000119295
5,248;1,94E-06;0,197828391;136,7385181;1,06E-05;9,81;7,62E-05
5,312;2,14E-06;0,200245701;140,073604;8,62E-06;9,81;4,86E-05
5,376;2,36E-06;0,202663139;143,4488717;7,43E-06;9,81;3,09E-05
5,44;2,61E-06;0,205080656;146,8643212;6,71E-06;9,81;1,96E-05
5,504;2,89E-06;0,207498225;150,3199524;6,30E-06;9,81;1,24E-05
5,568;3,19E-06;0,209915825;153,8157654;6,05E-06;9,81;7,73E-06
5,632;3,52E-06;0,212333444;157,3517601;5,92E-06;9,81;4,75E-06
5,696;3,87E-06;0,214751075;160,9279366;5,85E-06;9,81;2,85E-06
5,76;4,24E-06;0,217168713;164,5442949;5,81E-06;9,81;1,63E-06
5,824;4,64E-06;0,219586354;168,2008349;5,80E-06;9,81;8,45E-07
5,888;5,06E-06;0,222003997;171,8975567;5,79E-06;9,81;3,44E-07
5,952;5,51E-06;0,22442164;175,6344602;5,78E-06;9,81;2,34E-08
6,016;5,98E-06;0,226839282;179,4115455;5,78E-06;9,81;-1,82E-07
6,08;6,47E-06;0,229256923;183,2288126;5,77E-06;9,81;-3,13E-07
6,144;6,99E-06;0,231674562;187,0862614;5,75E-06;9,81;-3,98E-07
6,208;7,53E-06;0,234092199;190,983892;5,73E-06;9,81;-4,52E-07
6,272;8,09E-06;0,236509834;194,9217044;5,70E-06;9,81;-4,86E-07
6,336;8,68E-06;0,238927467;198,8996985;5,66E-06;9,81;-5,08E-07
6,4;9,29E-06;0,241345098;202,9178743;5,61E-06;9,81;-5,22E-07
6,464;9,92E-06;0,243762727;206,9762319;5,56E-06;9,81;-5,31E-07
6,528;1,06E-05;0,246180354;211,0747713;5,49E-06;9,81;-5,37E-07
6,592;1,13E-05;0,248597978;215,2134925;5,42E-06;9,81;-5,41E-07
6,656;1,19E-05;0,251015601;219,3923954;5,35E-06;9,81;-5,43E-07
6,72;1,27E-05;0,253433221;223,61148;5,27E-06;9,81;-5,45E-07
6,784;1,34E-05;0,255850838;227,8707464;5,19E-06;9,81;-5,46E-07
6,848;1,42E-05;0,258268454;232,1701946;5,10E-06;9,81;-5,46E-07
6,912;1,50E-05;0,260686067;236,5098246;5,02E-06;9,81;-5,47E-07
6,976;1,58E-05;0,263103678;240,8896363;4,93E-06;9,81;-5,47E-07
7,04;1,66E-05;0,265521287;245,3096297;4,84E-06;9,81;-5,47E-07
7,104;1,74E-05;0,267938894;249,769805;4,75E-06;9,81;-5,47E-07
7,168;1,83E-05;0,270356498;254,2701619;4,66E-06;9,81;-5,47E-07
7,232;1,92E-05;0,2727741;258,8107007;4,58E-06;9,81;-5,47E-07
7,296;2,01E-05;0,2751917;263,3914212;4,49E-06;9,81;-5,47E-07
7,36;2,10E-05;0,277609297;268,0123234;4,41E-06;9,81;-5,48E-07
7,424;2,19E-05;0,280026893;272,6734075;6,77E-06;9,81;-5,46E-07
7,488;2,29E-05;0,282444486;277,3746732;9,25E-06;9,81;-5,45E-07
7,552;2,39E-05;0,284862077;282,1161208;8,38E-06;9,81;-5,46E-07
7,616;2,50E-05;0,287279665;286,8977501;7,82E-06;9,81;-5,46E-07
7,68;2,61E-05;0,289697252;291,7195612;7,46E-06;9,81;-5,46E-07
7,744;2,72E-05;0,292114836;296,581554;7,24E-06;9,81;-5,46E-07
7,808;2,83E-05;0,294532418;301,4837286;7,09E-06;9,81;-5,46E-07
7,872;2,95E-05;0,296949998;306,4260849;7,00E-06;9,81;-5,46E-07
7,936;3,07E-05;0,299367575;311,408623;6,94E-06;9,81;-5,46E-07
8;3,19E-05;0,30178515;316,4313429;6,89E-06;9,81;-5,46E-07
8,064;3,31E-05;0,304202723;321,4942445;6,86E-06;9,81;-5,47E-07
8,128;3,44E-05;0,306620294;326,5973279;6,83E-06;9,81;-5,47E-07
8,192;3,57E-05;0,309037863;331,740593;6,80E-06;9,81;-5,47E-07
8,256;3,71E-05;0,311455429;336,9240399;6,77E-06;9,81;-5,47E-07
8,32;3,84E-05;0,313872993;342,1476686;6,74E-06;9,81;-5,47E-07
8,384;3,98E-05;0,316290555;347,411479;6,70E-06;9,81;-5,47E-07
8,448;4,12E-05;0,318708114;352,7154712;6,66E-06;9,81;-5,47E-07
